Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
Regular 4G,Light,12,97.70,0.00,0.00,true
Regular 4G,Light,13,109.00,0.00,0.00,true
Regular 4G,Light,14,107.40,0.00,0.00,true
Regular 4G,Light,15,99.00,0.00,0.00,true
Regular 4G,Light,16,110.30,0.00,0.00,true
Regular 4G,Light,17,87.40,0.00,0.00,true
Regular 4G,Light,18,92.00,0.00,0.00,true
Regular 4G,Light,19,92.50,0.00,0.00,true
Regular 4G,Light,20,89.20,0.00,0.00,true
Regular 4G,Light,21,96.70,0.00,0.00,true
Regular 4G,Light,22,112.90,0.00,0.00,true
Regular 4G,Light,23,108.70,0.00,0.00,true
Regular 4G,Light,24,96.20,0.00,0.00,true
Regular 4G,Light,25,108.00,0.00,0.00,true
Regular 4G,Light,26,104.10,0.00,0.00,true
Regular 4G,Light,27,106.90,0.00,0.00,true
Regular 4G,Light,28,88.00,0.00,0.00,true
Regular 4G,Light,29,108.50,0.00,0.00,true
Regular 4G,Light,30,95.20,0.00,0.00,true
Regular 4G,Medium,1,102.80,0.00,0.00,true
Regular 4G,Medium,2,132.30,0.00,0.00,true
Regular 4G,Medium,3,132.30,0.00,0.00,true
Regular 4G,Medium,4,108.80,0.00,0.00,true
Regular 4G,Medium,5,145.60,0.00,0.00,true
Regular 4G,Medium,6,136.30,0.00,0.00,true
Regular 4G,Medium,7,116.30,0.00,0.00,true
Regular 4G,Medium,8,108.50,0.00,0.00,true
Regular 4G,Medium,9,112.30,0.00,0.00,true
Regular 4G,Medium,10,106.40,0.00,0.00,true
Regular 4G,Medium,11,114.10,0.00,0.00,true
Regular 4G,Medium,12,119.60,0.00,0.00,true
Regular 4G,Medium,13,123.70,0.00,0.00,true
Regular 4G,Medium,14,113.60,0.00,0.00,true
Regular 4G,Medium,15,105.90,0.00,0.00,true
Regular 4G,Medium,16,111.10,0.00,0.00,true
Regular 4G,Medium,17,111.20,0.00,0.00,true
Regular 4G,Medium,18,107.00,0.00,0.00,true
Regular 4G,Medium,19,126.80,0.00,0.00,true
Regular 4G,Medium,20,109.50,0.00,0.00,true
Regular 4G,Medium,21,110.20,0.00,0.00,true
Regular 4G,Medium,22,109.40,0.00,0.00,true
Regular 4G,Medium,23,156.50,156.50,0.00,true
Regular 4G,Medium,24,115.40,0.00,0.00,true
Regular 4G,Medium,25,114.00,0.00,0.00,true
Regular 4G,Medium,26,105.40,0.00,0.00,true
Regular 4G,Medium,27,109.60,0.00,0.00,true
Regular 4G,Medium,28,107.40,0.00,0.00,true
Regular 4G,Medium,29,100.90,0.00,0.00,true
Regular 4G,Medium,30,119.70,0.00,0.00,true
Regular 4G,Heavy,1,155.00,0.00,0.00,true
Regular 4G,Heavy,2,142.20,0.00,0.00,true
Regular 4G,Heavy,3,166.40,0.00,0.00,true
Regular 4G,Heavy,4,207.20,0.00,0.00,true
Regular 4G,Heavy,5,139.40,0.00,0.00,true
Regular 4G,Heavy,6,145.10,0.00,0.00,true
Regular 4G,Heavy,7,155.50,0.00,0.00,true
Regular 4G,Heavy,8,161.20,0.00,0.00,true
Regular 4G,Heavy,9,143.70,0.00,0.00,true
Regular 4G,Heavy,10,167.00,0.00,0.00,true
Regular 4G,Heavy,11,163.40,0.00,0.00,true
Regular 4G,Heavy,12,145.80,0.00,0.00,true
Regular 4G,Heavy,13,158.60,0.00,0.00,true
Regular 4G,Heavy,14,160.30,0.00,0.00,true
Regular 4G,Heavy,15,163.10,0.00,0.00,true
Regular 4G,Heavy,16,261.70,0.00,0.00,true
Regular 4G,Heavy,17,143.70,0.00,0.00,true
Regular 4G,Heavy,18,169.50,0.00,0.00,true
Regular 4G,Heavy,19,141.50,0.00,0.00,true
Regular 4G,Heavy,20,143.90,0.00,0.00,true
Regular 4G,Heavy,21,147.90,0.00,0.00,true
Regular 4G,Heavy,22,144.80,0.00,0.00,true
Regular 4G,Heavy,23,151.70,0.00,0.00,true
Regular 4G,Heavy,24,146.10,0.00,0.00,true
Regular 4G,Heavy,25,159.90,0.00,0.00,true
Regular 4G,Heavy,26,160.10,0.00,0.00,true
Regular 4G,Heavy,27,194.60,0.00,0.00,true
Regular 4G,Heavy,28,139.50,0.00,0.00,true
Regular 4G,Heavy,29,178.80,0.00,0.00,true
Regular 4G,Heavy,30,159.90,0.00,0.00,true
Fast 3G,Light,1,92.40,0.00,0.00,true
Fast 3G,Light,2,110.10,0.00,0.00,true
Fast 3G,Light,3,104.60,0.00,0.00,true
Fast 3G,Light,4,97.20,0.00,0.00,true
Fast 3G,Light,5,91.60,0.00,0.00,true
Fast 3G,Light,6,108.30,0.00,0.00,true
Fast 3G,Light,7,88.60,0.00,0.00,true
Fast 3G,Light,8,105.60,0.00,0.00,true
Fast 3G,Light,9,104.40,0.00,0.00,true
Fast 3G,Light,10,91.40,0.00,0.00,true
Fast 3G,Light,11,93.50,0.00,0.00,true
Fast 3G,Light,12,118.80,0.00,0.00,true
Fast 3G,Light,13,108.90,0.00,0.00,true
Fast 3G,Light,14,102.40,0.00,0.00,true
Fast 3G,Light,15,105.20,0.00,0.00,true
Fast 3G,Light,16,122.50,0.00,0.00,true
Fast 3G,Light,17,92.40,0.00,0.00,true
Fast 3G,Light,18,95.60,0.00,0.00,true
Fast 3G,Light,19,102.80,0.00,0.00,true
Fast 3G,Light,20,113.80,0.00,0.00,true
Fast 3G,Light,21,101.90,0.00,0.00,true
Fast 3G,Light,22,87.40,0.00,0.00,true
Fast 3G,Light,23,91.70,0.00,0.00,true
Fast 3G,Light,24,88.60,0.00,0.00,true
Fast 3G,Light,25,97.60,0.00,0.00,true
Fast 3G,Light,26,102.50,0.00,0.00,true
Fast 3G,Light,27,102.80,0.00,0.00,true
Fast 3G,Light,28,89.00,0.00,0.00,true
Fast 3G,Light,29,98.70,0.00,0.00,true
Fast 3G,Light,30,101.80,0.00,0.00,true
Fast 3G,Medium,1,106.60,0.00,0.00,true
Fast 3G,Medium,2,113.40,0.00,0.00,true
Fast 3G,Medium,3,107.50,0.00,0.00,true
Fast 3G,Medium,4,106.70,0.00,0.00,true
Fast 3G,Medium,5,105.20,0.00,0.00,true
Fast 3G,Medium,6,123.60,0.00,0.00,true
Fast 3G,Medium,7,137.90,0.00,0.00,true
Fast 3G,Medium,8,106.00,0.00,0.00,true
Fast 3G,Medium,9,128.10,0.00,0.00,true
Fast 3G,Medium,10,126.20,0.00,0.00,true
Fast 3G,Medium,11,105.70,0.00,0.00,true
Fast 3G,Medium,12,109.30,0.00,0.00,true
Fast 3G,Medium,13,127.80,0.00,0.00,true
Fast 3G,Medium,14,102.90,0.00,0.00,true
Fast 3G,Medium,15,123.90,0.00,0.00,true
Fast 3G,Medium,16,120.30,0.00,0.00,true
Fast 3G,Medium,17,108.00,0.00,0.00,true
Fast 3G,Medium,18,163.00,0.00,0.00,true
Fast 3G,Medium,19,159.60,0.00,0.00,true
Fast 3G,Medium,20,171.00,0.00,0.00,true
Fast 3G,Medium,21,118.80,0.00,0.00,true
Fast 3G,Medium,22,126.50,0.00,0.00,true
Fast 3G,Medium,23,106.00,0.00,0.00,true
Fast 3G,Medium,24,106.80,0.00,0.00,true
Fast 3G,Medium,25,111.00,0.00,0.00,true
Fast 3G,Medium,26,106.30,0.00,0.00,true
Fast 3G,Medium,27,98.70,0.00,0.00,true
Fast 3G,Medium,28,110.70,0.00,0.00,true
Fast 3G,Medium,29,113.90,0.00,0.00,true
Fast 3G,Medium,30,98.20,0.00,0.00,true
Fast 3G,Heavy,1,180.70,0.00,0.00,true
Fast 3G,Heavy,2,140.20,0.00,0.00,true
Fast 3G,Heavy,3,163.90,0.00,0.00,true
Fast 3G,Heavy,4,173.80,0.00,0.00,true
Fast 3G,Heavy,5,156.60,0.00,0.00,true
Fast 3G,Heavy,6,155.10,0.00,0.00,true
Fast 3G,Heavy,7,212.50,0.00,0.00,true
Fast 3G,Heavy,8,241.70,0.00,0.00,true
Fast 3G,Heavy,9,168.80,0.00,0.00,true
Fast 3G,Heavy,10,152.20,0.00,0.00,true
Fast 3G,Heavy,11,199.40,0.00,0.00,true
Fast 3G,Heavy,12,221.90,0.00,0.00,true
Fast 3G,Heavy,13,171.50,0.00,0.00,true
Fast 3G,Heavy,14,211.50,0.00,0.00,true
Fast 3G,Heavy,15,188.10,0.00,0.00,true
Fast 3G,Heavy,16,175.90,0.00,0.00,true
Fast 3G,Heavy,17,177.90,0.00,0.00,true
Fast 3G,Heavy,18,156.30,0.00,0.00,true
Fast 3G,Heavy,19,161.30,0.00,0.00,true
Fast 3G,Heavy,20,167.40,0.00,0.00,true
Fast 3G,Heavy,21,171.20,0.00,0.00,true
Fast 3G,Heavy,22,161.50,0.00,0.00,true
Fast 3G,Heavy,23,199.40,0.00,0.00,true
Fast 3G,Heavy,24,149.40,0.00,0.00,true
Fast 3G,Heavy,25,180.00,0.00,0.00,true
Fast 3G,Heavy,26,178.00,0.00,0.00,true
Fast 3G,Heavy,27,152.70,0.00,0.00,true
Fast 3G,Heavy,28,146.20,0.00,0.00,true
Fast 3G,Heavy,29,200.70,0.00,0.00,true
Fast 3G,Heavy,30,201.60,0.00,0.00,true
Slow 3G,Light,1,99.40,0.00,0.00,true
Slow 3G,Light,2,135.70,0.00,0.00,true
Slow 3G,Light,3,114.70,0.00,0.00,true
Slow 3G,Light,4,105.80,0.00,0.00,true
Slow 3G,Light,5,133.40,0.00,0.00,true
Slow 3G,Light,6,119.20,0.00,0.00,true
Slow 3G,Light,7,117.00,0.00,0.00,true
Slow 3G,Light,8,142.10,0.00,0.00,true
Slow 3G,Light,9,108.40,0.00,0.00,true
